           5
$structures
Structure    1
           8
   4.33181982421875       -4.21581689453125     
   4.52047216796875       -4.49415576171875     
   4.87612792968750       -4.86527490234375     
   5.12663281250000       -5.08794677734375     
   5.32153808593750       -5.26199218750000     
   4.97098486328125       -5.16775976562500     
   4.40604394531250       -4.54982421875000     
   4.33181982421875       -4.21581689453125     
Structure    2
           9
   7.45852001953125       -4.38642382812500     
   7.35463916015625       -4.80194824218750     
   6.70167187500000       -5.23231201171875     
   6.19710693359375       -5.26199218750000     
   6.37606591796875       -5.18691210937500     
   6.55543994140625       -5.10959521484375     
   7.13067480468750       -4.75703222656250     
   7.35643896484375       -4.57147314453125     
   7.45852001953125       -4.38642382812500     
Structure    3
          -9
   7.53626318359375       -4.33930712890625     
   7.61665722656250       -3.85945800781250     
   9.64882421875000       -1.55633496093750     
   10.0721904296875        1.89834899902344     
   9.54721582031250        3.91358203125000     
   6.12640087890625        6.36911816406250     
   4.12810302734375        4.62484082031250     
   4.00956005859375      -0.607990417480469     
   4.24213281250000       -3.86943994140625     
Structure    4
          -2
   5.60168505859375       -4.91497607421875     
   5.63272509765625       -4.81409277343750     
Structure    5
          -3
   5.45604980468750       -5.26227197265625     
   5.80773779296875       -5.25936523437500     
   6.06238378906250       -5.26048095703125     
$end
